USD0534331	D1-121	Pet chew
USD0534332	D2-95	Outsole for a shoe
USD0534333	D2-606	Bow tie with biblical phrases and musical notes
USD0534334	D2-743	Hospital garment
USD0534335	D2-836	Portion of a garment
USD0534336	D2-840	Shirt
USD0534338	D2-969	Footwear upper
USD0534339	D2-969	Footwear upper
USD0534340	D2-969	Footwear upper
USD0534341	D2-971	Shoe
USD0534342	D2-972	Portion of a shoe upper
USD0534343	D2-972	Portion of a shoe upper
USD0534344	D2-977	Blind shoe seam design
USD0534345	D2-977	Portion of a shoe midsole
USD0534346	D2-977	Portion of a shoe midsole
USD0534347	D3-238	Bag
USD0534348	D3-243	Handbag
USD0534349	D3-243	Handbag
USD0534350	D3-243	Handbag
USD0534352	D3-246	Handbag
USD0534353	D3-279	Luggage
USD0534354	D3-319	Modular tool storage drawer
USD0534355	D3-320	Golf bag club divider
USD0534356	D3-321	Portion of a tote bag
USD0534357	D5-47	Fabric construction
USD0534359	D6-309	Oval mirror
USD0534360	D6-312	Picture frame
USD0534361	D6-323	Hanger with air freshener therein
USD0534362	D6-333	Child safety seat
USD0534363	D6-335	Modular three piece L-shaped seating set
USD0534364	D6-366	Seating unit having armrests
USD0534365	D6-366	Chair
USD0534366	D6-375	Armchair
USD0534367	D6-390	Bassinet
USD0534368	D6-396	Refreshment stand for swimming pools
USD0534369	D6-396	Display apparatus
USD0534370	D6-446	Vanity cabinet
USD0534371	D6-446	Dresser
USD0534372	D6-457	Eyewear display
USD0534373	D6-457	Display rack
USD0534374	D6-465	Vertical clothes holder
USD0534375	D6-465	Floor spinner rack
USD0534376	D6-468	Display rack
USD0534377	D6-484	Table
USD0534378	D6-484	Table
USD0534379	D6-484	Furniture unit
USD0534380	D6-488	Table
USD0534381	D6-495	Exposed legs for a play yard
USD0534382	D6-499	Support base
USD0534383	D6-501	Chair
USD0534385	D6-502	Chair
USD0534386	D6-511	Conference table top
USD0534387	D6-518	Tissue box
USD0534388	D6-574	Shelving
USD0534389	D6-601	Travel pillow
USD0534390	D7-318	Insulated container
USD0534391	D7-330	Toaster
USD0534392	D7-330	Cream toaster
USD0534393	D7-376	Blender insert for a food shaker
USD0534394	D7-378	Blender
USD0534395	D7-409	Barbecue grill with collector pan
USD0534396	D7-532	Mug
USD0534397	D7-620	Cupholder for slidable interaction with a hollow armrest
USD0534398	D7-653	Spoon
USD0534399	D7-653	Spoon
USD0534400	D7-665	Juice extractor appliance
USD0534401	D8-20	Saw blade
USD0534402	D8-49	Powered staple gun
USD0534403	D8-68	Drill
USD0534404	D8-68	Cordless drill
USD0534405	D8-68	Cordless drill
USD0534406	D8-68	Electric handtool
USD0534407	D8-69	Hammer drill non-spindle lock
USD0534409	D8-78	Hammerhead
USD0534410	D8-80	Tool handle cover
USD0534411	D8-107	Handle for power bander
USD0534412	D8-107	Tool handles
USD0534413	D8-303	Grip
USD0534414	D8-347	Electronic key
USD0534415	D8-349	Housing for a pin switch or decelerator for furniture or the like
USD0534416	D8-356	Gear shaped carabiner
USD0534417	D8-382	Cable connector
USD0534418	D8-396	Re-bar clamp
USD0534419	D9-418	Package with a transparent window
USD0534420	D9-420	Single compartment hinged container
USD0534421	D9-420	Container
USD0534422	D9-422	Container with rotating lid
USD0534423	D9-426	Container
USD0534424	D9-430	Container
USD0534425	D9-448	Pump dispenser
USD0534426	D9-449	Cosmetic container
USD0534427	D9-453	Closure
USD0534428	D9-516	Container shoulder
USD0534429	D9-516	Container dome
USD0534430	D9-519	Container
USD0534431	D9-531	Beverage bottle
USD0534432	D9-552	Bottle
USD0534433	D9-723	Propel/repel dispensing container
USD0534434	D9-724	Product dispensing package
USD0534435	D9-729	Propel/repel dispensing container
USD0534436	D9-756	Array of product dispensers
USD0534439	D10-40	Adjustable timer housing
USD0534440	D10-40	Timer
USD0534441	D10-40	Timer
USD0534442	D10-40	Adjustable timer housing
USD0534443	D10-50	Construction thermostat
USD0534444	D10-78	Hand-held diagnostic instrument
USD0534445	D10-78	Handheld diagnostic instrument
USD0534446	D10-81	Handheld instrument
USD0534447	D10-86	Tire pump
USD0534448	D10-104	Authentication device
USD0534449	D10-116	Fishing pole alarm
USD0534450	D10-132	Case for a wristwatch
USD0534451	D11-1	Heart shaped jewelry
USD0534452	D11-1	Heart shaped jewelry
USD0534453	D11-3	Decorative waistlet
USD0534454	D11-34	Ring
USD0534455	D11-79	Circular key chain
USD0534456	D11-157	Star recognition award
USD0534457	D11-160	Decorative article
USD0534458	D12-91	Automobile body
USD0534459	D12-91	Automobile body
USD0534460	D12-124	Bicycle derailleur
USD0534461	D12-163	Vehicle grille
USD0534462	D12-169	Rear bumper for an automobile
USD0534463	D12-169	Bumper for automobiles
USD0534464	D12-169	Vehicle rear bumper
USD0534465	D12-176	Front face of a steering wheel
USD0534466	D12-182	Motorcycle fairing
USD0534467	D12-192	Surface configuration of a dashboard for a vehicle
USD0534468	D12-192	Truck system dashboard
USD0534469	D12-194	Surface configuration of an exhaust pipe for a vehicle
USD0534470	D12-195	Door lining for automobile
USD0534471	D12-203	Vehicle step garnish
USD0534472	D12-205	Wheel rim
USD0534473	D12-211	Wheel for a motor vehicle
USD0534474	D12-211	Front face of a vehicle wheel
USD0534475	D12-220	Windshield wiper blade cleaner
USD0534476	D12-400	Decorative kit for vehicles
USD0534477	D12-400	Decorative kit for vehicles
USD0534478	D12-400	Decorative kit for vehicles
USD0534479	D12-400	Decorative kit for vehicles
USD0534480	D12-419	Folding tray table
USD0534481	D12-553	Tire tread
USD0534483	D12-554	Tire tread
USD0534484	D12-584	Tire tread
USD0534485	D12-584	Automobile tire
USD0534486	D12-584	Automobile tire
USD0534487	D12-588	Tire tread
USD0534489	D13-108	Charging cradle
USD0534490	D13-118	Power supply
USD0534491	D13-119	Removable battery
USD0534492	D13-123	Optical transmission conversion device
USD0534493	D13-133	Earphone jack
USD0534494	D13-133	Audio jack connector
USD0534495	D13-139.4	Interconnect enclosure for computer and audio visual equipment concealable in a table top
USD0534496	D13-139.8	Electrical power strip
USD0534497	D13-146	Electrical coupler
USD0534498	D13-151	Connector of the temperature sensor for oven range
USD0534499	D13-156	Lid for the connector of oven range
USD0534500	D13-158	Switch
USD0534501	D13-168	Remote control transmitter
USD0534503	D13-180	Light emitting diode (LED)
